t,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
2043,55.86758,55.0185,41.57004,25.69537,33.88968,39.60406,23.67779,13.77507,8.653708,31.33856,47.22864,42.44971,40.39183,36.27434,22.49867,34.5821,26.18355,15.6298,41.31464,45.86797,20.88137,19.48075,36.34823,58.3065,15.33478,11.62934
2044,56.1334,55.08024,41.81752,26.02549,34.27337,40.12532,23.96186,14.00096,8.887191,32.09122,47.42228,42.77761,40.66237,36.80258,22.72529,34.89215,26.36028,16.0408,41.56829,46.06303,21.19377,19.73787,36.51433,58.42822,15.54312,11.83418
2045,56.39506,55.14237,42.06132,26.35502,34.65977,40.64576,24.25181,14.23257,9.133117,32.853,47.61401,43.10385,40.93071,37.33703,22.95724,35.20708,26.53947,16.4649,41.81715,46.26194,21.51032,20.00039,36.67903,58.54871,15.75809,12.04602
2046,56.62429,55.19563,42.31078,26.68225,35.03366,41.15444,24.53126,14.46918,9.394938,33.57466,47.8021,43.40486,41.18526,37.82669,23.14931,35.46611,26.70679,16.87631,42.04644,46.45256,21.8196,20.24236,36.84367,58.65921,15.97644,12.28678
2047,56.84829,55.24906,42.55601,27.0086,35.40944,41.66248,24.82021,14.71169,9.670806,34.30159,47.98779,43.70367,41.43773,38.31889,23.34436,35.72837,26.87544,17.29968,42.27152,46.64622,22.13272,20.49007,37.0075,58.76893,16.20142,12.53653
2048,57.06715,55.30265,42.79677,27.33372,35.78707,42.16843,25.12221,14.96035,9.961448,35.03186,48.17115,43.99995,41.68806,38.81265,23.54241,35.99381,27.04654,17.73516,42.49252,46.84295,22.44964,20.744,37.17019,58.87796,16.43311,12.79558
2049,57.28075,55.35638,43.0327,27.6573,36.1664,42.67159,25.44266,15.21563,10.26761,35.76232,48.35226,44.29329,41.9362,39.30633,23.74377,36.26334,27.22269,18.18283,42.70965,47.04225,22.77061,21.00629,37.33181,58.98706,16.67156,13.0642
2050,57.48811,55.4101,43.26395,27.97886,36.54687,43.16943,25.78809,15.47738,10.59006,36.48695,48.53112,44.58318,42.18208,39.79665,23.94757,36.53565,27.40099,18.64259,42.92171,47.24451,23.09619,21.28611,37.49218,59.09942,16.91668,13.34271
2051,57.6729,55.4637,43.6249,28.2784,36.9836,43.6727,26.1051,15.8897,10.9217,36.9971,48.6811,44.8314,42.4662,40.2053,24.1437,36.7811,27.591,19.1122,43.1764,47.3891,23.3862,21.6523,37.6351,59.2115,17.2096,13.6963
2052,57.8557,55.5174,43.9819,28.5738,37.4209,44.17,26.4219,16.3205,11.2703,37.504,48.8298,45.0771,42.7472,40.6123,24.3428,37.0285,27.7805,19.593,43.428,47.5354,23.6763,22.022,37.7776,59.3219,17.5127,14.0661
2053,58.0366,55.5711,44.3346,28.8648,37.8583,44.6609,26.7381,16.7702,11.6367,38.0074,48.9773,45.3203,43.0249,41.0175,24.5448,37.2778,27.9694,20.0848,43.6765,47.6834,23.9663,22.3946,37.9196,59.4307,17.8263,14.4526
2054,58.2156,55.625,44.6829,29.1514,38.2957,45.1451,27.0535,17.2395,12.0217,38.5068,49.1235,45.5611,43.2994,41.4205,24.7498,37.5289,28.1578,20.5873,43.922,47.8331,24.256,22.7698,38.0611,59.5379,18.1506,14.8564
2055,58.3928,55.6789,45.0267,29.4332,38.7327,45.6223,27.3677,17.7288,12.4259,39.0019,49.2687,45.7994,43.5706,41.8211,24.9578,37.782,28.3455,21.1002,44.1645,47.9846,24.545,23.1472,38.2023,59.6438,18.4858,15.2782
2056,58.5796,55.7331,45.3645,29.7097,39.1712,46.0838,27.6763,18.236,12.8467,39.4844,49.4195,46.0427,43.8349,42.2264,25.1765,38.0897,28.5442,21.6068,44.3848,48.1354,24.8263,23.5091,38.3482,59.7589,18.8313,15.7252
2057,58.7643,55.7874,45.6977,29.9814,39.6089,46.5381,27.9834,18.7638,13.2878,39.9622,49.5691,46.2835,44.096,42.6287,25.3986,38.4002,28.7419,22.1224,44.6029,48.2879,25.1067,23.8723,38.4937,59.8725,19.1879,16.1918
2058,58.947,55.8418,46.0261,30.248,40.0456,46.985,28.2885,19.3125,13.75,40.435,49.7177,46.5216,44.3538,43.0276,25.624,38.7134,28.9387,22.6468,44.8189,48.4421,25.386,24.2362,38.6388,59.9848,19.5559,16.6786
2059,59.1277,55.8963,46.3497,30.5094,40.481,47.4242,28.5916,19.8825,14.234,40.9024,49.8652,46.7572,44.6084,43.4229,25.8528,39.0294,29.1345,23.1795,45.0327,48.5981,25.6639,24.6004,38.7836,60.0959,19.9354,17.186
2060,59.3064,55.951,46.6683,30.7657,40.9149,47.8557,28.8923,20.4739,14.7404,41.3642,50.0118,46.9902,44.8597,43.8144,26.0849,39.348,29.3291,23.72,45.2446,48.7559,25.9402,24.9645,38.9281,60.2057,20.3266,17.7145
