t,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
2047,69.79317,67.55898,52.88729,34.60092,42.92188,51.24342,32.02228,19.1672,12.88613,43.82388,59.88742,55.931,52.70411,48.65841,30.454,45.05364,34.17182,22.81827,52.91594,60.30311,28.88649,26.69702,47.09592,71.88789,21.3914,16.48484
2048,69.97803,67.53915,53.14115,35.0028,43.34703,51.81541,32.39707,19.48224,13.26671,44.73496,60.07174,56.28517,52.99765,49.25917,30.6974,45.35949,34.3739,23.37903,53.15714,60.52631,29.28454,27.01563,47.27766,71.94099,21.68578,16.81752
2049,70.15276,67.51631,53.38717,35.40221,43.77289,52.38128,32.79516,19.80555,13.66756,45.64502,60.25189,56.63497,53.28778,49.85871,30.94478,45.66946,34.58197,23.95518,53.39228,60.75233,29.68733,27.34476,47.45742,71.99133,21.98872,17.16245
2050,70.31603,67.49001,53.62564,35.7985,44.19873,52.93784,33.2249,20.13693,14.08968,46.54641,60.42772,56.97967,53.57436,50.45284,31.19499,45.98183,34.79234,24.54653,53.6199,60.98159,30.09561,27.69633,47.63492,72.04256,22.3001,17.52
2051,70.4639,67.4748,54.0308,36.1689,44.6991,53.5081,33.6199,20.6651,14.5238,47.1773,60.5735,57.275,53.9108,50.946,31.437,46.2643,35.0196,25.1511,53.9068,61.1426,30.459,28.1619,47.7927,72.1045,22.6752,17.9765
2052,70.6065,67.457,54.4292,36.5336,45.1988,54.0688,34.0142,21.2168,14.9801,47.8034,60.7165,57.5668,54.2426,51.4363,31.6824,46.5482,35.2459,25.7696,54.1889,61.3053,30.822,28.6315,47.9493,72.162,23.0635,18.4538
2053,70.7436,67.4364,54.8205,36.8925,45.6977,54.6193,34.4073,21.7927,15.4597,48.4241,60.8568,57.8549,54.5697,51.9232,31.9314,46.8335,35.4711,26.4018,54.4662,61.4698,31.1845,29.1045,48.1048,72.2151,23.465,18.9526
2054,70.8751,67.4127,55.2045,37.2451,46.1953,55.1592,34.7989,22.3934,15.9633,49.039,60.9943,58.1394,54.8919,52.4065,32.1839,47.1203,35.6952,27.0474,54.7386,61.6363,31.546,29.5805,48.2591,72.2637,23.8803,19.4737
2055,71.0007,67.3859,55.5809,37.5913,46.6914,55.6879,35.1885,23.0196,16.4921,49.6476,61.1292,58.4202,55.2091,52.8858,32.44,47.4085,35.918,27.7059,55.0063,61.8045,31.9064,30.0588,48.4123,72.3078,24.3094,20.0178
2056,71.1347,67.3558,55.948,37.9303,47.188,56.1949,35.5704,23.6684,17.0422,50.2393,61.2696,58.7069,55.5169,53.37,32.7098,47.7643,36.1544,28.3552,55.2453,61.9714,32.2562,30.5167,48.5709,72.3602,24.7516,20.5944
2057,71.2621,67.3223,56.307,38.2627,47.6823,56.6903,35.9498,24.3434,17.6188,50.8241,61.4072,58.9898,55.8199,53.8493,32.9836,48.1224,36.3892,29.0157,55.4804,62.1401,32.6043,30.9756,48.7283,72.4078,25.2079,21.1961
2058,71.3829,67.285,56.6581,38.5882,48.1743,57.1739,36.3263,25.045,18.2228,51.4017,61.542,59.2689,56.118,54.3233,33.2613,48.4827,36.6223,29.6869,55.7117,62.3106,32.9505,31.4351,48.8845,72.4504,25.6787,21.8237
2059,71.4969,67.2439,57.0009,38.9068,48.6633,57.6454,36.6997,25.7733,18.855,51.9715,61.674,59.5441,56.4112,54.7916,33.543,48.8451,36.8536,30.368,55.9392,62.4829,33.2945,31.8946,49.0396,72.4882,26.1642,22.4776
2060,71.604,67.1984,57.3351,39.2183,49.1492,58.1044,37.0695,26.5288,19.5163,52.5333,61.8032,59.8154,56.6993,55.254,33.8289,49.2095,37.083,31.0586,56.1629,62.6571,33.636,32.3534,49.1935,72.5212,26.6643,23.1585
